feature,coefficient
congratulation,-0.8714072395652985
freeze,-0.8750202882592149
gym,-0.8777876158425507
next,-0.8782898496719177
budget,-0.8860756507977817
health,-0.8975034517277164
received,-0.9070870953308825
th,-0.908288326516198
two,-0.9113467832410762
welcome,-0.9122067817691771
percent,-0.9189675523856229
today,-0.9221622998600751
testing,-0.9238436171843697
unit,-0.9254165338134137
conference,-0.9371058009956025
feature,-0.9393997397008437
model,-0.9394552188188596
reminder,-0.9425355734376294
successfully,-0.9514235496665134
feedback,-0.9640474540467474
pipeline,-0.9672116032012087
ready,-0.9701339611083094
change,-0.9937756947797389
pricing,-1.0000362736893798
escalated,-1.0305233601136625
upgraded,-1.0336089261257917
confirmation,-1.0347410408088042
hr,-1.0485876555017892
november,-1.0654174924536897
apologize,-1.0777902491780749
renewal,-1.0870099822018529
payable,-1.1202034704969825
phase,-1.1233352676368502
three,-1.131361855073787
certificate,-1.1390854678592521
api,-1.1886389314869528
december,-1.198171307275207
issued,-1.1999075176323124
monday,-1.2092063705937584
scheduled,-1.2186217431821087
offsite,-1.2284349490337834
integration,-1.2346671298978285
consumer,-1.2453296385978108
session,-1.2693700747748564
sprint,-1.270960773311156
effective,-1.2991175107230857
submitted,-1.3072175388566718
company,-1.320815560814039
bug,-1.3267625938270105
reported,-1.3267625938270105
invoice,-1.3318380865440136
st,-1.3471718489377944
employee,-1.3514368658266431
project,-1.4097529133482671
plan,-1.4281427672278755
resolved,-1.4399711066578063
pm,-1.4436894551434614
report,-1.4547543911531735
october,-1.4672178942730019
critical,-1.4743791793294183
per,-1.478482637675265
week,-1.5078083529135575
request,-1.5414756349569432
attached,-1.5749320587104632
business,-1.5893889173095723
engineering,-1.5980008791923763
data,-1.6348852443391266
ticket,-1.6362775772299818
quarter,-1.6763979494271195
totaling,-1.6766625080377562
receipt,-1.677928804078911
thursday,-1.7269521854721135
confirmed,-1.783037443517865
engagement,-1.8305995397808235
consulting,-1.8305995397808235
completed,-1.8997654149890972
refund,-2.1150091181228867
reviewed,-2.130871059076294
requested,-2.314917962118012
approved,-2.318013763351599
thank,-2.5821935666704894
team,-2.6311424471495157
updated,-2.9900938681848066
please,-3.132039020779797
processed,-3.9315371717238436
